dataset,stem,n_residues,n_true,marinfold_exp199,px_ss_structure,px_ss_distogram,px_msa_structure,px_msa_distogram
cameo_hard,8j4i_A,190,127,0.4645669291338583,0.1338582677165354,0.1338582677165354,0.4409448818897638,0.3307086614173228
cameo_hard,8jvx_B,39,14,0.42857142857142855,0.5714285714285714,0.3571428571428571,0.6428571428571429,0.4285714285714285
cameo_hard,8raj_A,62,13,0.8461538461538461,0.2307692307692307,0.5384615384615384,0.3076923076923077,0.5384615384615384
cameo_hard,8s3m_A,345,369,0.32791327913279134,0.084010840108401,0.1084010840108401,0.7588075880758808,0.4173441734417344
cameo_hard,8s89_A,401,341,0.25806451612903225,0.8973607038123167,0.5601173020527859,0.9002932551319648,0.5513196480938416
cameo_hard,8u1a_A,324,453,0.2052980132450331,0.6666666666666666,0.2538631346578366,0.6644591611479028,0.2516556291390728
cameo_hard,8v4w_A,207,216,0.21296296296296297,0.2268518518518518,0.2685185185185185,0.7222222222222222,0.5601851851851852
cameo_hard,8vd6_A,174,114,0.4649122807017544,0.5964912280701754,0.4122807017543859,0.5964912280701754,0.4210526315789473
cameo_hard,8vej_B,242,176,0.3409090909090909,0.7613636363636364,0.3636363636363636,0.7670454545454546,0.3636363636363636
cameo_hard,8wwc_C,113,97,0.27835051546391754,0.6597938144329897,0.4123711340206185,0.6391752577319587,0.4329896907216495
cameo_hard,8xtn_A,33,7,0.14285714285714285,0.1428571428571428,0.0,0.1428571428571428,0.0
cameo_hard,8yl4_B,207,175,0.30857142857142855,0.7428571428571429,0.4628571428571428,0.7428571428571429,0.4457142857142857
cameo_hard,8yoz_A,79,59,0.6271186440677966,0.7627118644067796,0.4576271186440678,0.7627118644067796,0.4915254237288136
cameo_hard,8zaf_A,353,389,0.18251928020565553,0.1053984575835475,0.1182519280205655,0.8277634961439588,0.480719794344473
cameo_hard,9b7d_D,192,141,0.16312056737588654,0.0283687943262411,0.1347517730496454,0.851063829787234,0.475177304964539
cameo_hard,9bch_A,198,173,0.20809248554913296,0.4046242774566474,0.3121387283236994,0.6069364161849711,0.3583815028901734
cameo_hard,9de9_B,81,62,0.45161290322580644,0.8387096774193549,0.5483870967741935,0.8548387096774194,0.5483870967741935
cameo_hard,9deb_E,83,57,0.6491228070175439,0.8421052631578947,0.5789473684210527,0.8421052631578947,0.5789473684210527
cameo_hard,9def_A,151,115,0.34782608695652173,0.8434782608695652,0.4608695652173913,0.8260869565217391,0.4608695652173913
cameo_hard,9deg_A,157,142,0.33098591549295775,0.7746478873239436,0.5492957746478874,0.795774647887324,0.5422535211267606
cameo_hard,9dl1_D,124,34,0.08823529411764706,0.1176470588235294,0.0588235294117647,0.1764705882352941,0.1470588235294117
cameo_hard,9emy_B,379,459,0.5098039215686274,0.0610021786492374,0.0718954248366013,0.8148148148148148,0.55119825708061
cameo_hard,9eqn_A,72,33,0.3333333333333333,0.2424242424242424,0.303030303030303,0.696969696969697,0.5151515151515151
cameo_hard,9eum_A,176,138,0.572463768115942,0.0942028985507246,0.0869565217391304,0.644927536231884,0.3333333333333333
cameo_hard,9f4c_A,141,65,0.2923076923076923,0.1846153846153846,0.1692307692307692,0.4615384615384615,0.3538461538461538
cameo_hard,9fdg_A,179,148,0.6959459459459459,0.6824324324324325,0.3581081081081081,0.668918918918919,0.3445945945945945
cameo_hard,9hac_B,127,111,0.3153153153153153,0.7387387387387387,0.5765765765765766,0.7297297297297297,0.5675675675675675
cameo_hard,9had_C,108,96,0.84375,0.8958333333333334,0.6770833333333334,0.90625,0.6875
cameo_hard,9isp_A,156,166,0.1566265060240964,0.0602409638554216,0.0180722891566265,0.8795180722891566,0.4457831325301205
cameo_hard,9j46_F,124,95,0.17894736842105263,0.1894736842105263,0.231578947368421,0.7684210526315789,0.4421052631578947
cameo_hard,9j5h_A,35,15,0.5333333333333333,0.4,0.6,0.3333333333333333,0.5333333333333333
cameo_hard,9k3e_C,116,116,0.1896551724137931,0.1637931034482758,0.1034482758620689,0.9310344827586208,0.4482758620689655
casp_fm,T1027-D1,168,129,0.08527131782945736,0.1317829457364341,0.1085271317829457,0.3720930232558139,0.2945736434108527
casp_fm,T1029-D1,125,92,0.2717391304347826,0.25,0.2282608695652173,0.358695652173913,0.2282608695652173
casp_fm,T1031-D1,95,87,0.22988505747126436,0.1149425287356321,0.1379310344827586,0.6206896551724138,0.5057471264367817
casp_fm,T1033-D1,100,83,0.10843373493975904,0.0240963855421686,0.0481927710843373,0.7831325301204819,0.6746987951807228
casp_fm,T1035-D1,102,70,0.18571428571428572,0.3,0.2428571428571428,0.7571428571428571,0.5857142857142857
casp_fm,T1037-D1,404,406,0.10591133004926108,0.0886699507389162,0.1231527093596059,0.6403940886699507,0.4729064039408867
casp_fm,T1038-D1,114,82,0.17073170731707318,0.1585365853658536,0.1707317073170731,0.8292682926829268,0.4512195121951219
casp_fm,T1038-D2,76,60,0.4666666666666667,0.35,0.2,0.7333333333333333,0.4333333333333333
casp_fm,T1039-D1,161,148,0.11486486486486487,0.3648648648648648,0.3716216216216216,0.777027027027027,0.6283783783783784
casp_fm,T1040-D1,130,79,0.1518987341772152,0.2025316455696202,0.2151898734177215,0.6708860759493671,0.4556962025316455
casp_fm,T1041-D1,242,219,0.091324200913242,0.0182648401826484,0.0228310502283105,0.817351598173516,0.4840182648401826
casp_fm,T1042-D1,276,210,0.09523809523809523,0.1142857142857142,0.1380952380952381,0.6333333333333333,0.5238095238095238
casp_fm,T1043-D1,148,128,0.0859375,0.046875,0.0625,0.046875,0.078125
casp_fm,T1049-D1,134,127,0.11811023622047244,0.1574803149606299,0.1653543307086614,0.9291338582677166,0.4330708661417323
casp_fm,T1104-D1,117,96,0.28125,0.5520833333333334,0.4270833333333333,0.8125,0.5104166666666666
casp_fm,T1112-D1,460,406,0.3916256157635468,0.3571428571428571,0.3054187192118227,0.8472906403940886,0.396551724137931
casp_fm,T1113-D1,167,107,0.29906542056074764,0.0747663551401869,0.1682242990654205,0.2149532710280373,0.2803738317757009
