target_id,eval_set,rule,L_exp245,L_helico,n_mapped,n_theirs,n_mine,jaccard,ok
5sbj_A,eval-denovo,identity,30,30,30,17,17,1.0,1
7ur7_A,eval-denovo,resolved_rank,70,63,63,60,60,1.0,1
8ah9_A,eval-denovo,resolved_rank,120,115,115,132,132,1.0,1
8eov_A,eval-denovo,resolved_rank,146,139,139,145,145,1.0,1
8fjf_A,eval-denovo,resolved_rank,134,127,127,95,95,1.0,1
8gac_A,eval-denovo,resolved_rank,106,103,103,79,79,1.0,1
8ju8_A,eval-denovo,identity,139,139,139,93,93,1.0,1
8k7o_A,eval-denovo,identity,233,233,233,204,204,1.0,1
8k7z_A,eval-denovo,resolved_rank,180,172,172,91,91,1.0,1
8k83_A,eval-denovo,resolved_rank,181,174,174,122,122,1.0,1
8k84_A,eval-denovo,resolved_rank,177,173,173,136,136,1.0,1
8kcj_A,eval-denovo,resolved_rank,181,179,179,122,122,1.0,1
8ka7_A,eval-denovo,resolved_rank,124,115,115,87,87,1.0,1
8kac_A,eval-denovo,resolved_rank,129,121,121,104,103,0.990385,1
8oys_A,eval-denovo,identity,190,190,190,148,148,1.0,1
8oyy_A,eval-denovo,resolved_rank,242,233,233,239,239,1.0,1
8qkd_A,eval-denovo,resolved_rank,284,281,281,239,239,1.0,1
8qup_A,eval-denovo,resolved_rank,124,114,114,93,93,1.0,1
8vc8_A,eval-denovo,resolved_rank,204,197,197,147,147,1.0,1
8es6_A,eval-test,unmapped,488,430,0,0,459,0.0,0
8ev4_A,eval-test,resolved_rank,125,115,115,95,95,1.0,1
8ew1_A,eval-test,resolved_rank,267,264,264,363,363,1.0,1
8ew9_A,eval-test,resolved_rank,248,241,241,231,231,1.0,1
8ey3_A,eval-test,resolved_rank,65,60,60,39,39,1.0,1
8ez6_A,eval-test,resolved_rank,72,65,65,42,42,1.0,1
8ezw_A,eval-test,resolved_rank,160,132,132,118,117,0.991525,1
8f8n_A,eval-test,resolved_rank,220,148,148,109,109,1.0,1
8f9o_A,eval-test,resolved_rank,496,487,487,590,590,1.0,1
8fbc_A,eval-test,resolved_rank,395,393,393,426,426,1.0,1
8jjq_A,eval-test,resolved_rank,331,321,321,346,345,0.99711,1
8fib_A,eval-test,resolved_rank,441,418,418,404,404,1.0,1
8fr5_A,eval-test,resolved_rank,97,92,92,90,87,0.966667,1
8fty_A,eval-test,resolved_rank,509,483,483,581,581,1.0,1
8h2f_A,eval-test,resolved_rank,180,172,172,187,187,1.0,1
8fz8_A,eval-test,resolved_rank,405,390,390,367,365,0.99455,1
8fz9_A,eval-test,resolved_rank,138,136,136,139,139,1.0,1
8g0n_A,eval-test,resolved_rank,247,242,242,263,263,1.0,1
8g1l_A,eval-test,identity,252,252,252,275,275,1.0,1
8g1y_A,eval-test,resolved_rank,497,496,496,476,476,1.0,1
8g32_A,eval-test,resolved_rank,362,327,327,335,335,1.0,1
8g52_A,eval-test,resolved_rank,329,279,279,256,256,1.0,1
8g53_A,eval-test,resolved_rank,218,184,184,150,150,1.0,1
8g5u_A,eval-test,resolved_rank,489,481,481,535,535,1.0,1
8g64_A,eval-test,resolved_rank,172,169,169,150,150,1.0,1
8gbe_A,eval-test,resolved_rank,207,205,205,200,200,1.0,1
8gdl_A,eval-test,resolved_rank,361,355,355,398,398,1.0,1
8gj9_A,eval-test,resolved_rank,65,62,62,36,36,1.0,1
8gjw_A,eval-test,resolved_rank,355,346,346,426,426,1.0,1
8gjy_A,eval-test,resolved_rank,376,344,344,423,420,0.992908,1
8gkd_A,eval-test,resolved_rank,358,353,353,455,455,1.0,1
8gok_A,eval-test,identity,273,273,273,274,274,1.0,1
8gr7_A,eval-test,resolved_rank,343,326,326,356,356,1.0,1
8gsy_A,eval-test,resolved_rank,144,126,126,123,123,1.0,1
8gqq_A,eval-test,identity,99,99,99,99,99,1.0,1
8gtz_A,eval-test,resolved_rank,483,462,462,472,472,1.0,1
8q79_A,eval-test,unmapped,236,215,0,0,263,0.0,0
8h02_A,eval-test,resolved_rank,84,79,79,54,54,1.0,1
8h5s_A,eval-test,resolved_rank,260,247,247,191,191,1.0,1
8hbt_A,eval-test,resolved_rank,446,431,431,475,475,1.0,1
8hd2_A,eval-test,resolved_rank,354,314,314,365,365,1.0,1
8he1_A,eval-test,resolved_rank,280,225,225,252,252,1.0,1
8axs_A,eval-test,resolved_rank,578,573,573,722,722,1.0,1
8hnq_A,eval-test,identity,286,286,286,306,306,1.0,1
8hvd_A,eval-test,resolved_rank,614,602,602,711,711,1.0,1
7xhz_A,eval-test,identity,231,231,231,223,223,1.0,1
8hw8_A,eval-test,resolved_rank,356,326,326,362,362,1.0,1
8hxs_A,eval-test,identity,100,100,100,114,114,1.0,1
8ii8_A,eval-test,resolved_rank,226,225,225,138,138,1.0,1
8ikx_A,eval-test,identity,390,390,390,425,425,1.0,1
8ini_A,eval-test,resolved_rank,99,95,95,82,82,1.0,1
8iqc_A,eval-test,resolved_rank,254,226,226,231,231,1.0,1
8irq_A,eval-test,resolved_rank,165,150,150,134,134,1.0,1
8iym_A,eval-test,resolved_rank,163,155,155,162,161,0.993827,1
8j2n_A,eval-test,resolved_rank,320,239,239,258,253,0.98062,1
8j2x_A,eval-test,resolved_rank,341,337,337,231,231,1.0,1
8jb3_A,eval-test,resolved_rank,455,419,419,420,418,0.995238,1
7wr2_A,eval-test,resolved_rank,161,136,136,136,136,1.0,1
8j8y_A,eval-test,resolved_rank,141,129,129,96,96,1.0,1
8j9r_A,eval-test,resolved_rank,74,72,72,51,51,1.0,1
8jdg_A,eval-test,resolved_rank,471,456,456,399,397,0.994987,1
8jh8_A,eval-test,resolved_rank,248,242,242,251,251,1.0,1
8jiy_A,eval-test,resolved_rank,241,216,216,244,244,1.0,1
8jmy_A,eval-test,resolved_rank,129,128,128,119,119,1.0,1
8jn0_A,eval-test,identity,89,89,89,97,97,1.0,1
8jup_A,eval-test,resolved_rank,327,288,288,230,228,0.991304,1
8jv2_A,eval-test,resolved_rank,361,360,360,394,391,0.992386,1
8jws_A,eval-test,resolved_rank,127,117,117,108,108,1.0,1
8cjd_A,eval-test,resolved_rank,663,635,635,792,792,1.0,1
8k2g_A,eval-test,resolved_rank,516,505,505,613,613,1.0,1
8k2k_A,eval-test,resolved_rank,542,529,529,653,650,0.995406,1
8k2m_A,eval-test,resolved_rank,581,559,559,631,631,1.0,1
8k4m_A,eval-test,resolved_rank,137,124,124,119,119,1.0,1
8k5j_A,eval-test,resolved_rank,427,403,403,468,464,0.991453,1
8k7x_A,eval-test,resolved_rank,856,673,673,746,746,1.0,1
8kg4_A,eval-test,identity,265,265,265,270,270,1.0,1
8xrh_A,eval-test,resolved_rank,408,389,389,389,389,1.0,1
8khv_A,eval-test,resolved_rank,614,579,579,666,666,1.0,1
8kih_A,eval-test,resolved_rank,332,291,291,285,285,1.0,1
8ok3_A,eval-test,resolved_rank,125,121,121,115,115,1.0,1
8oqh_A,eval-test,resolved_rank,91,81,81,71,71,1.0,1
8ork_A,eval-test,identity,460,460,460,406,406,1.0,1
8os2_A,eval-test,resolved_rank,146,123,123,108,108,1.0,1
8owf_A,eval-test,resolved_rank,575,563,563,651,651,1.0,1
8osz_A,eval-test,resolved_rank,263,246,246,272,272,1.0,1
8ou1_A,eval-test,resolved_rank,148,142,142,144,144,1.0,1
8ovq_A,eval-test,resolved_rank,232,208,208,177,173,0.977401,1
8ovu_A,eval-test,identity,99,99,99,81,81,1.0,1
8ow8_A,eval-test,resolved_rank,446,401,401,467,463,0.991435,1
8oxk_A,eval-test,resolved_rank,99,94,94,95,95,1.0,1
8oxl_A,eval-test,identity,92,92,92,98,98,1.0,1
8p0e_A,eval-test,resolved_rank,190,184,184,151,151,1.0,1
8p2a_A,eval-test,identity,89,89,89,47,47,1.0,1
8p5p_A,eval-test,aligned,116,107,103,120,120,1.0,1
8p5n_A,eval-test,resolved_rank,144,138,138,135,135,1.0,1
7wu8_A,eval-test,resolved_rank,96,82,82,54,54,1.0,1
8pak_A,eval-test,resolved_rank,361,345,345,349,349,1.0,1
8paq_A,eval-test,resolved_rank,166,159,159,105,105,1.0,1
8pb5_A,eval-test,resolved_rank,322,320,320,348,348,1.0,1
8por_A,eval-test,unmapped,179,164,0,0,147,0.0,0
8ptd_A,eval-test,identity,343,343,343,424,424,1.0,1
8pu2_A,eval-test,resolved_rank,75,74,74,47,47,1.0,1
8pvs_A,eval-test,identity,731,731,731,959,959,1.0,1
